Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2014-08-24T04:35:30.554 ,4,-0.0015626181915231452,0.6863965983394639,FoVP,0.6546145919846441,0.7260886507905461,2456893.6905624256
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2014-08-24T06:22:04.767 ,3,0.00359277286740565,0.6853743802328199,FoVF,0.656096311531109,0.7245145678739074,2456893.7645665836
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2014-09-29T19:19:38.545 ,6,-0.0047838705482715045,1.4340103846360248,FoVP,0.5251515486922412,0.7197613914556971,2456930.3035120126
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2014-09-29T21:06:12.732 ,5,-1.406290450363743E-4,1.4313425301465672,FoVF,0.5280109648652717,0.7175035457113558,2456930.377517729
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2014-11-10T07:44:00.111 ,4,0.0018802058710493492,-2.7450521526926552,FoVF,-0.5401723872483319,0.7066385455866658,2456971.820564614
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2014-11-27T13:45:49.719 ,6,-0.0027268960955416735,2.5067810858990436,FoVF,0.5935516986287304,0.7068723626030065,2456989.072308474
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2015-01-03T11:02:34.953 ,6,-0.004814244869476127,-1.687610692955676,FoVP,-0.6961248410122584,0.6999656602264155,2457025.960536061
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2015-03-01T16:33:28.451 ,3,9.720454329752117E-4,-0.8435794011901382,FoVP,-0.6074838049349012,0.7045643686185713,2457083.192979692
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2015-03-01T18:20:02.674 ,6,-0.003193983088591551,-0.8400311617047452,FoVF,-0.6089667107223102,0.7030765006459093,2457083.2669895203
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2015-04-12T22:09:28.953 ,7,-0.007086162826512804,-1.3773659413145025,FoVP,0.512337090205374,0.7085271898619566,2457125.4271544307
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2015-04-12T23:56:03.248 ,7,-0.004088122830179452,-1.372939510639056,FoVF,0.5102376849988521,0.7100455075738792,2457125.501162655
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2015-04-13T04:09:43.288 ,2,0.002988142672691227,-1.3623644705998716,FoVP,0.5052141074317575,0.7136559761521929,2457125.6773209427
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2015-04-13T05:56:17.429 ,1,0.0059358067863806326,-1.3579054200372807,FoVF,0.5030921788179306,0.7151711016431312,2457125.7513273745
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2015-05-08T16:15:18.217 ,3,0.0013767178377755334,0.3919124670496719,FoVP,-0.5425415126980379,0.7230211650522347,2457151.1809816877
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2015-05-08T18:01:52.429 ,6,-0.001763003031355793,0.3961501574583597,FoVF,-0.5447004761468937,0.7215841198998753,2457151.254987374
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2015-06-17T15:52:16.952 ,6,-0.00374359155052041,-0.3411237833567422,FoVP,0.6879864163515157,0.7220449300014868,2457191.1637044875
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2015-06-17T17:38:51.175 ,4,7.738422779550561E-4,-0.33853747802519,FoVF,0.6870274932176605,0.7231536751972367,2457191.2377085034
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2015-07-21T09:28:52.286 ,3,4.395857894830436E-4,1.695741796152713,FoVP,-0.7248678249042066,0.7282276725616685,2457224.8958573965
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2015-07-21T11:15:26.501 ,7,-0.004703953439730323,1.6965299421746618,FoVF,-0.7246574194150218,0.7284097401387253,2457224.9698608695
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2015-08-16T03:20:23.667 ,5,-0.002850566411147411,0.53800535266197,FoVP,0.6818322701419428,0.7254351912269773,2457250.638757559
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2015-08-16T05:06:57.876 ,3,0.0023554437308795084,0.5374228295989727,FoVF,0.6829749086244183,0.7241523584568507,2457250.7127613933
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2015-09-25T14:13:33.630 ,2,0.003026333186995252,2.6318359210200724,FoVP,-0.5445314573789124,0.7167541713145434,2457291.091039601
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2015-09-25T16:00:07.846 ,6,-0.0015545842958355999,2.6290889992742783,FoVF,-0.5414670276907843,0.7188890252552912,2457291.1650453843
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2015-10-11T08:17:44.592 ,5,-0.0032842374595314625,1.6715175321144011,FoVP,0.5076119255982087,0.7159932614934179,2457306.8437602576
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2015-10-11T10:04:18.792 ,4,0.0012377479650521668,1.6685843836409067,FoVF,0.5107218299635374,0.7137027669522876,2457306.917766831
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2015-11-21T08:43:33.073 ,3,0.0036355098124161126,-2.5096760063418637,FoVF,-0.5769151680383618,0.7059826682760302,2457347.8622010266
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2015-12-10T06:56:25.197 ,7,-0.006015624165092784,2.688719219849237,FoVP,0.6355664777053853,0.7088512994245133,2457366.7884751675
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2015-12-10T08:42:59.390 ,5,-6.697514676021868E-4,2.687267963646443,FoVF,0.6375611604296262,0.7072510918451808,2457366.862485071
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2016-01-14T18:08:22.554 ,5,-0.0032174165757410432,-1.5110875903546124,FoVP,-0.7064074526559401,0.6987784036867128,2457402.256792657
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2016-02-14T07:34:32.546 ,7,-0.004859193275310065,-2.569385647088833,FoVF,0.6545636984678453,0.7060910104434459,2457432.818111298
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2016-03-13T05:42:42.122 ,1,0.003366990000238494,-0.6617992993972013,FoVP,-0.5641517228380256,0.7074377115230157,2457460.7414535414
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2016-03-13T07:29:16.311 ,5,-3.499858219912462E-4,-0.6578305906523201,FoVF,-0.5658924924053135,0.7058594473753319,2457460.8154623504
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2016-04-26T05:19:34.200 ,7,-0.0059772926558151794,-1.1104096978795854,FoVP,0.5232162744545613,0.7111295516846989,2457504.725790744
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2016-04-26T07:06:08.475 ,6,-0.0028435231209003255,-1.1061290295773172,FoVF,0.521239693569958,0.7126893187365251,2457504.799797855
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2016-04-26T11:19:48.465 ,1,0.004563043518973976,-1.0959027862479729,FoVP,0.5165102248905765,0.7164011987188538,2457504.975953465
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2016-05-23T01:09:20.647 ,2,0.004116810303840552,0.7030380332364943,FoVF,-0.59312560998829,0.7250725330305382,2457531.551487736
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2016-05-23T05:23:00.669 ,6,-0.00430980100837789,0.7122350811410942,FoVP,-0.5978632367059771,0.7217373553307632,2457531.7276401473
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2016-06-29T05:00:52.035 ,4,-0.001222124435006169,-0.17530608695727246,FoVP,0.7127091167941114,0.7225150389313704,2457568.710791736
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2016-06-29T06:47:26.236 ,3,0.0035788268806848057,-0.173312523291523,FoVF,0.7121219636260817,0.7232272159024485,2457568.784795213
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2016-08-03T12:14:54.251 ,3,0.0031639393182718873,1.888055379144845,FoVF,-0.7076657662750594,0.7257869712940654,2457604.0104891495
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2016-08-26T18:10:22.459 ,7,-0.00396963781174525,0.7444932459505716,FoVF,0.6456277522055419,0.7218646620702642,2457627.25633558
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2016-10-06T22:57:02.325 ,4,0.0016739887116815856,2.8399299126973228,FoVF,-0.5125130151940316,0.7173390257941036,2457668.4544082526
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2016-10-22T03:15:06.121 ,3,0.0013007178960286285,1.898887457180223,FoVP,0.51036764682405,0.7110705015106316,2457683.633596279
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2016-10-22T05:01:40.368 ,1,0.00581700817450618,1.895881109677437,FoVF,0.5135685905508908,0.7087905892526187,2457683.7076041442
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2016-12-01T09:44:30.356 ,4,6.41247708856889E-4,-2.285828399673224,FoVF,-0.6151195074850585,0.7069534439804679,2457723.9048870206
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2016-12-22T07:54:07.591 ,4,-7.55607470925031E-4,2.8680713276019825,FoVP,0.6734194260920113,0.7086941589488959,2457744.8291133135
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2016-12-22T09:40:41.804 ,2,0.004769082540241216,2.867515261255748,FoVF,0.6747323735839821,0.7076070556284723,2457744.9031238686
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2017-01-25T03:01:30.056 ,2,0.004696282905158484,-1.3446997014314017,FoVF,-0.7022686303587392,0.6999420359266132,2457778.627593857
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2017-02-27T20:14:34.886 ,3,5.245853574722285E-4,-2.2903136642895023,FoVP,0.608028459739655,0.7101952609942992,2457812.3465083456
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2017-02-27T22:01:09.064 ,2,0.004473987616336955,-2.2865203964435614,FoVF,0.6061493038390301,0.7115915476218919,2457812.4205177124
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2017-03-26T08:14:52.688 ,1,0.003622280444960998,-0.4542908105666211,FoVP,-0.5269073971985123,0.710239122906875,2457838.847431482
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2017-03-26T10:01:26.868 ,4,3.1097756640045604E-4,-0.4500270473483524,FoVF,-0.5288518169211368,0.7086696277827258,2457838.9214394474
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2017-05-10T01:52:19.010 ,3,3.1898748575090544E-5,-0.8774304926007402,FoVP,0.5521347338575383,0.7168097459698864,2457883.581678974
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2017-05-10T03:38:53.196 ,3,0.0034439186424024258,-0.8734147173278276,FoVF,0.5503272210608744,0.7183922072462566,2457883.6556842527
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2017-06-07T09:37:31.195 ,3,0.002629308357192121,0.9958635760311351,FoVF,-0.6483164899998626,0.7235100519523524,2457911.903886378
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2017-06-07T13:51:11.272 ,7,-0.007016081064661577,1.003680320041506,FoVP,-0.6522159669129965,0.7205566087344897,2457912.080037872
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2017-07-11T13:31:14.425 ,3,8.589615834313506E-4,-0.008329513142143702,FoVP,0.7236250100666866,0.7216918249286441,2457946.064651418
source,2.8114571379767974,-1.0681672450765052,10:44:20.311,-61:12:05.310,2017-07-11T15:17:48.619 ,1,0.005874708914872512,-0.006962589909669264,FoVF,0.7234430282432615,0.7219261779291202,2457946.1386546562
