Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2015-06-08T09:11:53.324 ,7,-0.006367162696437145,1.7488938266674927,FoVP,0.6917372478766306,0.720050931151381,2457181.8855843106
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2015-06-08T10:58:27.572 ,6,-0.0019285253580449287,1.7516317210019188,FoVF,0.6905406224612434,0.7210638881328794,2457181.9595943927
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2015-07-09T03:04:01.290 ,1,0.00373548304452117,-2.5537854161898506,FoVP,-0.6185540465884568,0.7293826308055761,2457212.6309804637
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2015-07-09T04:50:35.477 ,5,-1.0328204729861006E-4,-2.5502814057762757,FoVF,-0.62010245748395,0.7279380229570437,2457212.7049886803
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2015-08-19T20:41:37.083 ,2,0.002437785300297016,3.0962136966814526,FoVP,0.5918130073584728,0.7253521018272039,2457254.365646416
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2015-08-19T22:28:11.237 ,1,0.006018697362584685,3.1000468883321433,FoVF,0.5900436610656534,0.7268463114484802,2457254.439652162
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2015-09-17T16:25:07.148 ,1,0.005757020482851931,-1.2632286977306957,FoVF,-0.6399188159774148,0.7220994880814939,2457283.1869932804
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2015-09-17T20:38:47.140 ,6,-0.0038552292293576513,-1.2549921870269514,FoVP,-0.6438086142908643,0.7189362497722824,2457283.3631458185
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2015-10-22T02:17:06.998 ,3,0.0011178697262171796,-2.197204966134214,FoVP,0.7036464476106475,0.7127605628430115,2457317.596911217
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2015-10-22T04:03:41.183 ,1,0.006161954465609869,-2.1952136202122756,FoVF,0.7031130983681005,0.7133560897007095,2457317.6709150113
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2015-11-24T21:28:44.095 ,4,0.001517352405059075,-0.0999035171633095,FoVF,-0.6968430793126112,0.7069340561457662,2457351.3952538436
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2015-12-17T15:21:36.663 ,7,-0.0048667799571891265,-1.2393133082358192,FoVF,0.6484354633037017,0.7079466929749535,2457374.1394803924
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2016-01-25T00:26:19.704 ,3,3.8541907822956314E-4,0.9010790207495045,FoVP,-0.5788383500766815,0.6990577824019979,2457412.5169585366
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2016-01-25T02:12:53.897 ,7,-0.004689001176408922,0.8988460273367735,FoVF,-0.5762504586051004,0.7011394055196822,2457412.5909647983
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2016-02-11T06:27:41.921 ,7,-0.00564683910079084,-0.1271575451143001,FoVP,0.5642107586572224,0.7091348805909486,2457429.767879001
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2016-02-11T08:14:16.107 ,5,-6.091481793320377E-4,-0.12940555305283613,FoVF,0.5668323943457892,0.7070777553549363,2457429.8418861143
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2016-03-21T11:18:22.767 ,5,-0.003331420544535399,2.011837035714539,FoVP,-0.6472632130274364,0.7081250915454257,2457468.970444519
