Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
source,0.2959715152514507,0.5970946660947098,01:07:49.900,+34:12:39.616,2014-08-27T08:11:48.235 ,1,0.004465487142597345,3.0267144638511767,FoVP,-0.4933816867277972,0.7273085550015705,2456896.8455434297
source,0.2959715152514507,0.5970946660947098,01:07:49.900,+34:12:39.616,2014-08-27T09:58:22.421 ,5,1.145327149508123E-4,3.029675789545723,FoVF,-0.49571015056539636,0.7250110628497597,2456896.9195556752
source,0.2959715152514507,0.5970946660947098,01:07:49.900,+34:12:39.616,2014-12-30T13:27:20.124 ,7,-0.005781715435050891,-1.0046206330496585,FoVP,0.6282163597301543,0.6981215631974397,2457022.0634995573
source,0.2959715152514507,0.5970946660947098,01:07:49.900,+34:12:39.616,2014-12-30T15:13:54.351 ,5,-4.7023208341291086E-4,-1.0029897877806078,FoVF,0.6268840144815644,0.6998092927696751,2457022.137500437
source,0.2959715152514507,0.5970946660947098,01:07:49.900,+34:12:39.616,2015-01-25T09:00:57.233 ,5,1.0429230588738921E-4,0.3086314494662307,FoVF,-0.6951163746375567,0.7035487536042053,2457047.8761755438
source,0.2959715152514507,0.5970946660947098,01:07:49.900,+34:12:39.616,2015-02-19T20:53:13.591 ,7,-0.004085980309967458,-1.3193351349855353,FoVF,0.5235065436619776,0.7061270865661489,2457073.3685929277
source,0.2959715152514507,0.5970946660947098,01:07:49.900,+34:12:39.616,2015-06-27T03:02:11.574 ,2,0.005307916407344869,-2.679452966141173,FoVF,-0.6211744912278234,0.7233512267053287,2457200.6253074384
source,0.2959715152514507,0.5970946660947098,01:07:49.900,+34:12:39.616,2015-06-27T07:15:51.595 ,6,-0.005113871654343851,-2.6861263543195193,FoVP,-0.6180174692762224,0.7273736191613338,2457200.801479412
source,0.2959715152514507,0.5970946660947098,01:07:49.900,+34:12:39.616,2015-07-27T07:00:54.104 ,2,0.0024625319520842114,1.894087859678497,FoVP,0.722052911213321,0.7275535712641699,2457230.7937167413
source,0.2959715152514507,0.5970946660947098,01:07:49.900,+34:12:39.616,2015-08-20T08:42:08.427 ,1,0.0054901772820596245,-3.114568075575626,FoVF,-0.580800177629349,0.7265922289969132,2457254.8660828536
source,0.2959715152514507,0.5970946660947098,01:07:49.900,+34:12:39.616,2015-08-20T12:55:48.449 ,7,-0.005810901622379068,-3.1092520954181904,FoVP,-0.5850110647603702,0.721716685323709,2457255.042254527
source,0.2959715152514507,0.5970946660947098,01:07:49.900,+34:12:39.616,2016-01-09T20:34:54.919 ,6,-0.004891207915047454,-1.1267264998012962,FoVP,0.6858562065396657,0.699183352574505,2457397.359570065
source,0.2959715152514507,0.5970946660947098,01:07:49.900,+34:12:39.616,2016-01-09T22:21:29.133 ,4,6.372448150696556E-4,-1.126175868673931,FoVF,0.685202481972961,0.7000911575632811,2457397.433570462
source,0.2959715152514507,0.5970946660947098,01:07:49.900,+34:12:39.616,2016-02-09T02:12:35.416 ,1,0.004491547004102951,0.14754145627793883,FoVP,-0.6311380708983654,0.7048400832048517,2457427.5913185617
source,0.2959715152514507,0.5970946660947098,01:07:49.900,+34:12:39.616,2016-02-09T03:59:09.651 ,5,1.7967307440392E-5,0.14430623564429368,FoVF,-0.6290443782551363,0.7062290126351345,2457427.665319474
source,0.2959715152514507,0.5970946660947098,01:07:49.900,+34:12:39.616,2016-02-29T20:15:56.977 ,7,-0.006675259960378925,-1.2657450422749144,FoVP,0.37361741086685074,0.7104416217783884,2457448.342002959
source,0.2959715152514507,0.5970946660947098,01:07:49.900,+34:12:39.616,2016-02-29T22:02:31.109 ,7,-0.0034671129700471065,-1.2701787899378378,FoVF,0.37585186354597894,0.7085260094713152,2457448.416003925
source,0.2959715152514507,0.5970946660947098,01:07:49.900,+34:12:39.616,2016-03-01T02:16:11.142 ,1,0.004208735049193987,-1.2807027164070144,FoVP,0.38112383149181106,0.7039491912162065,2457448.5921493755
source,0.2959715152514507,0.5970946660947098,01:07:49.900,+34:12:39.616,2016-07-07T10:12:43.607 ,2,0.0043239767510431315,-2.708991901100331,FoVF,-0.6930989160335934,0.7229638076985923,2457576.925240785
source,0.2959715152514507,0.5970946660947098,01:07:49.900,+34:12:39.616,2016-08-10T07:57:50.552 ,5,-0.0023311358832740223,1.8281852557198155,FoVP,0.6605270470188591,0.7238547323272492,2457610.8345667245
source,0.2959715152514507,0.5970946660947098,01:07:49.900,+34:12:39.616,2016-08-10T09:44:24.761 ,3,0.0025126575734223198,1.8301561097360928,FoVF,0.6584597794676067,0.725275974720643,2457610.9085800736
source,0.2959715152514507,0.5970946660947098,01:07:49.900,+34:12:39.616,2016-08-29T14:00:30.502 ,5,-0.002270254665468733,2.969499245383566,FoVP,-0.4596607503528973,0.7189453215309913,2457630.0879406664
source,0.2959715152514507,0.5970946660947098,01:07:49.900,+34:12:39.616,2016-12-03T04:24:50.002 ,5,-0.003350345117131301,-0.2894933282362015,FoVP,0.21620228007465256,0.7048037878887446,2457725.6888373387
source,0.2959715152514507,0.5970946660947098,01:07:49.900,+34:12:39.616,2016-12-03T06:11:24.243 ,5,-5.05521109121023E-4,-0.284751800826531,FoVF,0.2123531552618945,0.7067169816240572,2457725.7628401625
source,0.2959715152514507,0.5970946660947098,01:07:49.900,+34:12:39.616,2016-12-13T10:31:31.467 ,4,-2.4597694584538126E-4,0.4360390599680993,FoVP,-0.4346658309796996,0.7069764857204759,2457735.942788512
source,0.2959715152514507,0.5970946660947098,01:07:49.900,+34:12:39.616,2016-12-13T12:18:05.705 ,7,-0.00348831199635148,0.4405362059321315,FoVF,-0.43872731943483334,0.7051900611129227,2457736.0167904757
source,0.2959715152514507,0.5970946660947098,01:07:49.900,+34:12:39.616,2017-01-19T09:43:39.793 ,5,-0.0020026882026009177,-1.2173800281921512,FoVP,0.7068659966266146,0.7014381118694931,2457772.9063915485
source,0.2959715152514507,0.5970946660947098,01:07:49.900,+34:12:39.616,2017-01-19T11:30:14.004 ,3,0.0035199927832110633,-1.217924275599889,FoVF,0.706867509256948,0.7014484588522585,2457772.980391788
source,0.2959715152514507,0.5970946660947098,01:07:49.900,+34:12:39.616,2017-02-24T06:23:14.098 ,1,0.007069243016149579,-0.1457690969786967,FoVF,-0.4646771313532927,0.7058801680652783,2457808.7640993153
source,0.2959715152514507,0.5970946660947098,01:07:49.900,+34:12:39.616,2017-02-24T10:36:54.275 ,3,9.255082464521371E-4,-0.15728943397468614,FoVP,-0.4570386118457917,0.7091611491370654,2457808.9402455552
source,0.2959715152514507,0.5970946660947098,01:07:49.900,+34:12:39.616,2017-02-24T12:23:28.479 ,6,-0.001600670224770837,-0.1621578125580004,FoVF,-0.4538089539804769,0.710526057394249,2457809.014246998
source,0.2959715152514507,0.5970946660947098,01:07:49.900,+34:12:39.616,2017-03-09T10:45:36.196 ,5,-0.002937728157020327,-1.0924372270671705,FoVP,0.14901864081498392,0.7116593846309939,2457821.9453996457
source,0.2959715152514507,0.5970946660947098,01:07:49.900,+34:12:39.616,2017-03-09T12:32:10.371 ,5,-0.0010388711175668619,-1.0975451211987735,FoVF,0.1517643677690303,0.7103447571062989,2457822.019401798
source,0.2959715152514507,0.5970946660947098,01:07:49.900,+34:12:39.616,2017-03-09T16:45:50.443 ,1,0.0035358535420738427,-1.109681975071846,FoVP,0.15824770669548127,0.7071761862286492,2457822.195549356
source,0.2959715152514507,0.5970946660947098,01:07:49.900,+34:12:39.616,2017-03-09T18:32:24.731 ,1,0.005480541133519493,-1.114771970592713,FoVF,0.16094961636740124,0.7058287284577619,2457822.2695528483
source,0.2959715152514507,0.5970946660947098,01:07:49.900,+34:12:39.616,2017-05-29T07:05:12.483 ,1,0.0067780358927700705,-3.016760415744108,FoVF,-0.05324856579430909,0.715765146731261,2457902.7921375805
source,0.2959715152514507,0.5970946660947098,01:07:49.900,+34:12:39.616,2017-05-29T11:18:52.721 ,1,0.003770585989608484,-3.028839360644522,FoVP,-0.04649545605044953,0.7179735097620115,2457902.968307459
source,0.2959715152514507,0.5970946660947098,01:07:49.900,+34:12:39.616,2017-05-29T13:05:26.986 ,3,0.0025322516984043197,-3.033919855800822,FoVF,-0.04364046125557411,0.7188821185315137,2457903.0423192405
source,0.2959715152514507,0.5970946660947098,01:07:49.900,+34:12:39.616,2017-05-29T17:19:07.051 ,4,-3.5459335711840017E-4,-3.0460268479671258,FoVP,-0.036802424845007405,0.7209985423096976,2457903.2184871593
source,0.2959715152514507,0.5970946660947098,01:07:49.900,+34:12:39.616,2017-05-29T23:19:21.141 ,6,-0.004304761608593581,-3.0632537574473875,FoVP,-0.026989904093501306,0.7238900216067782,2457903.468664167
